Term	distance	Annotation
GO:0000003	1	reproduction
GO:0008152	1	metabolic process
GO:0001906	1	cell killing
GO:0002376	1	immune system process
GO:0006791	1	sulfur utilization
GO:0006794	1	phosphorus utilization
GO:0040007	1	growth
GO:0007610	1	behavior
GO:0008283	1	cell proliferation
GO:0009758	1	carbohydrate utilization
GO:0009987	1	cellular process
GO:0015976	1	carbon utilization
GO:0019740	1	nitrogen utilization
GO:0022414	1	reproductive process
GO:0022610	1	biological adhesion
GO:0023052	1	signaling
GO:0032501	1	multicellular organismal process
GO:0032502	1	developmental process
GO:0040011	1	locomotion
GO:0043473	1	pigmentation
GO:0044848	1	biological phase
GO:0048511	1	rhythmic process
GO:0048518	1	positive regulation of biological process
GO:0048519	1	negative regulation of biological process
GO:0050789	1	regulation of biological process
GO:0050896	1	response to stimulus
GO:0051179	1	localization
GO:0051704	1	multi-organism process
GO:0065007	1	biological regulation
GO:0071840	1	cellular component organization or biogenesis
GO:0098743	1	cell aggregation
GO:0098754	1	detoxification
GO:0019953	2	sexual reproduction
GO:0019954	2	asexual reproduction
GO:0032504	2	multicellular organism reproduction
GO:0032505	2	reproduction of a single-celled organism
GO:0061887	2	reproduction of symbiont in host
GO:0055114	2	oxidation-reduction process
GO:0006807	2	nitrogen compound metabolic process
GO:0009056	2	catabolic process
GO:0009058	2	biosynthetic process
GO:0009892	2	negative regulation of metabolic process
GO:0009893	2	positive regulation of metabolic process
GO:0019222	2	regulation of metabolic process
GO:0019748	2	secondary metabolic process
GO:0032259	2	methylation
GO:0032963	2	collagen metabolic process
GO:0042440	2	pigment metabolic process
GO:0042445	2	hormone metabolic process
GO:0044033	2	multi-organism metabolic process
GO:0044237	2	cellular metabolic process
GO:0044238	2	primary metabolic process
GO:0044281	2	small molecule metabolic process
GO:0045730	2	respiratory burst
GO:0070085	2	glycosylation
GO:0070988	2	demethylation
GO:0071704	2	organic substance metabolic process
GO:1901275	2	tartrate metabolic process
GO:1901902	2	tyrocidine metabolic process
GO:1902421	2	hydrogen metabolic process
GO:1990845	2	adaptive thermogenesis
GO:0001909	2	leukocyte mediated cytotoxicity
GO:0031341	2	regulation of cell killing
GO:0031342	2	negative regulation of cell killing
GO:0031343	2	positive regulation of cell killing
GO:0031640	2	killing of cells of other organism
GO:0097278	2	complement-dependent cytotoxicity
