Term	distance	Annotation
GO:0016020	1	membrane
GO:0005576	1	extracellular region
GO:0005623	1	cell
GO:0009295	1	nucleoid
GO:0019012	1	virion
GO:0030054	1	cell junction
GO:0031974	1	membrane-enclosed lumen
GO:0032991	1	protein-containing complex
GO:0043226	1	organelle
GO:0044215	1	other organism
GO:0044217	1	other organism part
GO:0044421	1	extracellular region part
GO:0044422	1	organelle part
GO:0044423	1	virion part
GO:0044425	1	membrane part
GO:0044456	1	synapse part
GO:0044464	1	cell part
GO:0045202	1	synapse
GO:0055044	1	symplast
GO:0097423	1	mitochondrion-associated adherens complex
GO:0099080	1	supramolecular complex
GO:0005886	2	plasma membrane
GO:0005628	2	prospore membrane
GO:0005789	2	endoplasmic reticulum membrane
GO:0019867	2	outer membrane
GO:0031090	2	organelle membrane
GO:0034357	2	photosynthetic membrane
GO:0036362	2	ascus membrane
GO:0042175	2	nuclear outer membrane-endoplasmic reticulum membrane network
GO:0048475	2	coated membrane
GO:0055036	2	virion membrane
GO:0098589	2	membrane region
GO:0098590	2	plasma membrane region
GO:0098805	2	whole membrane
GO:0140221	2	pathogen-containing vacuole membrane
GO:1990578	2	perinuclear endoplasmic reticulum membrane
GO:0043083	2	synaptic cleft
GO:0048046	2	apoplast
GO:0098595	2	perivitelline space
GO:0099544	2	perisynaptic space
GO:0039642	2	virion nucleoid
GO:0042645	2	mitochondrial nucleoid
GO:0042646	2	plastid nucleoid
GO:0043590	2	bacterial nucleoid
GO:0044777	2	single-stranded DNA-binding protein complex
GO:0005911	2	cell-cell junction
GO:0030055	2	cell-substrate junction
GO:0061466	2	plasma membrane part of cell junction
GO:0070161	2	anchoring junction
GO:0120118	2	flagella connector
GO:0043233	2	organelle lumen
GO:0140222	2	pathogen-containing vacuole lumen
GO:0000133	2	polarisome
GO:0000346	2	transcription export complex
GO:0000347	2	THO complex
GO:0000408	2	EKC/KEOPS complex
GO:0000417	2	HIR complex
GO:0000444	2	MIS12/MIND type complex
GO:0000776	2	kinetochore
GO:0000797	2	condensin core heterodimer
GO:0000808	2	origin recognition complex
GO:0000817	2	COMA complex
GO:0000930	2	gamma-tubulin complex
GO:0000939	2	condensed chromosome inner kinetochore
GO:0000940	2	condensed chromosome outer kinetochore
GO:0000974	2	Prp19 complex
GO:0001114	2	protein-DNA-RNA complex
GO:0001534	2	radial spoke
GO:0001535	2	radial spoke head
GO:0001536	2	radial spoke stalk
GO:0002096	2	polkadots
GO:0002102	2	podosome
GO:0002111	2	BRCA2-BRAF35 complex
GO:0002133	2	polycystin complex
GO:0002142	2	stereocilia ankle link complex
GO:0002144	2	cytosolic tRNA wobble base thiouridylase complex
GO:0002167	2	VRK3/VHR/ERK complex
GO:0002193	2	MAML1-RBP-Jkappa- ICN1 complex
GO:0002199	2	zona pellucida receptor complex
GO:0002929	2	MECO complex
GO:1990904	2	ribonucleoprotein complex
GO:0005581	2	collagen trimer
GO:0005577	2	fibrinogen complex
GO:0005601	2	classical-complement-pathway C3/C5 convertase complex
GO:0005602	2	complement component C1 complex
GO:0005616	2	larval serum protein complex
GO:0005643	2	nuclear pore
GO:0005663	2	DNA replication factor C complex
GO:0005662	2	DNA replication factor A complex
GO:0005667	2	transcription factor complex
GO:0005731	2	nucleolus organizer region
GO:0005831	2	steroid hormone aporeceptor complex
GO:0005833	2	hemoglobin complex
GO:0005835	2	fatty acid synthase complex
GO:0005838	2	proteasome regulatory particle
GO:0005839	2	proteasome core complex
GO:0005849	2	mRNA cleavage factor complex
GO:0005850	2	eukaryotic translation initiation factor 2 complex
GO:0005851	2	eukaryotic translation initiation factor 2B complex
GO:0005852	2	eukaryotic translation initiation factor 3 complex
GO:0005853	2	eukaryotic translation elongation factor 1 complex
GO:0005854	2	nascent polypeptide-associated complex
GO:0005861	2	troponin complex
GO:0005875	2	microtubule associated complex
GO:0005885	2	Arp2/3 protein complex
GO:0005931	2	axonemal nexin link
GO:0005952	2	cAMP-dependent protein kinase complex
GO:0005954	2	calcium- and calmodulin-dependent protein kinase complex
GO:0005956	2	protein kinase CK2 complex
GO:0008023	2	transcription elongation factor complex
GO:0008074	2	guanylate cyclase complex, soluble
GO:0008180	2	COP9 signalosome
GO:0008278	2	cohesin complex
GO:0008290	2	F-actin capping protein complex
GO:0016281	2	eukaryotic translation initiation factor 4F complex
GO:0008537	2	proteasome activator complex
GO:0008540	2	proteasome regulatory particle, base subcomplex
GO:0008541	2	proteasome regulatory particle, lid subcomplex
GO:0009327	2	NAD(P)+ transhydrogenase complex (AB-specific)
GO:0009330	2	DNA topoisomerase complex (ATP-hydrolyzing)
GO:0009337	2	sulfite reductase complex (NADPH)
GO:0009340	2	DNA topoisomerase IV complex
GO:0009344	2	nitrite reductase complex [NAD(P)H]
GO:0009346	2	citrate lyase complex
GO:0009356	2	aminodeoxychorismate synthase complex
GO:0009366	2	enterobactin synthetase complex
GO:0009368	2	endopeptidase Clp complex
GO:0010316	2	pyrophosphate-dependent phosphofructokinase complex
GO:0010317	2	pyrophosphate-dependent phosphofructokinase complex, alpha-subunit complex
GO:0010318	2	pyrophosphate-dependent phosphofructokinase complex, beta-subunit complex
GO:0015627	2	type II protein secretion system complex
GO:0034081	2	polyketide synthase complex
GO:0016272	2	prefoldin complex
GO:0016459	2	myosin complex
GO:0016592	2	mediator complex
GO:0017053	2	transcriptional repressor complex
GO:0017086	2	3-methyl-2-oxobutanoate dehydrogenase (lipoamide) complex
GO:0017101	2	aminoacyl-tRNA synthetase multienzyme complex
GO:0017102	2	methionyl glutamyl tRNA synthetase complex
GO:0017177	2	glucosidase II complex
GO:0018444	2	translation release factor complex
GO:0019008	2	molybdopterin synthase complex
GO:0019035	2	viral integration complex
GO:0019036	2	viral transcriptional complex
GO:0019197	2	phosphoenolpyruvate-dependent sugar phosphotransferase complex
GO:0019773	2	proteasome core complex, alpha-subunit complex
GO:0019774	2	proteasome core complex, beta-subunit complex
GO:0019814	2	immunoglobulin complex
GO:0022623	2	proteasome-activating nucleotidase complex
GO:0022624	2	proteasome accessory complex
GO:0030014	2	CCR4-NOT complex
GO:0030015	2	CCR4-NOT core complex
GO:0030076	2	light-harvesting complex
GO:0030080	2	B875 antenna complex
GO:0030081	2	B800-820 antenna complex
GO:0030082	2	B800-850 antenna complex
GO:0030256	2	type I protein secretion system complex
GO:0030257	2	type III protein secretion system complex
GO:0030314	2	junctional membrane complex
GO:0030689	2	Noc complex
GO:0030870	2	Mre11 complex
GO:0030877	2	beta-catenin destruction complex
GO:0030895	2	apolipoprotein B mRNA editing enzyme complex
GO:0030896	2	checkpoint clamp complex
GO:0030929	2	ADPG pyrophosphorylase complex
GO:0030956	2	glutamyl-tRNA(Gln) amidotransferase complex
GO:0030990	2	intraciliary transport particle
GO:0030991	2	intraciliary transport particle A
GO:0030992	2	intraciliary transport particle B
GO:0030993	2	axonemal heterotrimeric kinesin-II complex
GO:0044613	2	nuclear pore central transport channel
GO:0031074	2	nucleocytoplasmic transport complex
GO:0031080	2	nuclear pore outer ring
GO:0031082	2	BLOC complex
GO:0031105	2	septin complex
GO:0031209	2	SCAR complex
GO:0031250	2	anaerobic ribonucleoside-triphosphate reductase complex
GO:0031251	2	PAN complex
GO:0031262	2	Ndc80 complex
GO:0031298	2	replication fork protection complex
GO:0031389	2	Rad17 RFC-like complex
GO:0031390	2	Ctf18 RFC-like complex
