Term	distance	Annotation
GO:0140110	1	transcription regulator activity
GO:0003824	1	catalytic activity
GO:0038024	1	cargo receptor activity
GO:0045735	1	nutrient reservoir activity
GO:0005198	1	structural molecule activity
GO:0005215	1	transporter activity
GO:0005488	1	binding
GO:0031386	1	protein tag
GO:0090729	1	toxin activity
GO:0016209	1	antioxidant activity
GO:0098772	1	molecular function regulator
GO:0045182	1	translation regulator activity
GO:0060089	1	molecular transducer activity
GO:0104005	1	hijacked molecular function
GO:0140104	1	molecular carrier activity
GO:0001070	2	RNA-binding transcription regulator activity
GO:0001072	2	transcription antitermination factor activity, RNA binding
GO:0001073	2	transcription antitermination factor activity, DNA binding
GO:0001134	2	transcription regulator recruiting activity
GO:0003700	2	DNA-binding transcription factor activity
GO:0003711	2	transcription elongation regulator activity
GO:0003712	2	transcription coregulator activity
GO:0140223	2	general transcription initiation factor activity
GO:0016987	2	sigma factor activity
GO:0043856	2	anti-sigma factor antagonist activity
GO:0004133	2	glycogen debranching enzyme activity
GO:0016491	2	oxidoreductase activity
GO:0009975	2	cyclase activity
GO:0010280	2	UDP-L-rhamnose synthase activity
GO:0016740	2	transferase activity
GO:0016787	2	hydrolase activity
GO:0016829	2	lyase activity
GO:0016853	2	isomerase activity
GO:0016874	2	ligase activity
GO:0032451	2	demethylase activity
GO:0061783	2	peptidoglycan muralytic activity
GO:0140096	2	catalytic activity, acting on a protein
GO:0140097	2	catalytic activity, acting on DNA
GO:0140098	2	catalytic activity, acting on RNA
GO:0004873	2	asialoglycoprotein receptor activity
GO:0004998	2	transferrin receptor activity
GO:0005044	2	scavenger receptor activity
GO:0008196	2	vitellogenin receptor activity
GO:0016964	2	alpha-2 macroglobulin receptor activity
GO:0030226	2	apolipoprotein receptor activity
GO:0030228	2	lipoprotein particle receptor activity
GO:0033568	2	lactoferrin receptor activity
GO:0061714	2	folic acid receptor activity
GO:0070287	2	ferritin receptor activity
GO:0098748	2	endocytic adaptor activity
GO:0003735	2	structural constituent of ribosome
GO:0005199	2	structural constituent of cell wall
GO:0005200	2	structural constituent of cytoskeleton
GO:0005201	2	extracellular matrix structural constituent
GO:0005212	2	structural constituent of eye lens
GO:0005213	2	structural constituent of chorion
GO:0017056	2	structural constituent of nuclear pore
GO:0008147	2	structural constituent of bone
GO:0008307	2	structural constituent of muscle
GO:0016490	2	structural constituent of peritrophic membrane
GO:0019911	2	structural constituent of myelin sheath
GO:0030280	2	structural constituent of epidermis
GO:0030527	2	structural constituent of chromatin
GO:0032947	2	protein-containing complex scaffold activity
GO:0035804	2	structural constituent of egg coat
GO:0039660	2	structural constituent of virion
GO:0042302	2	structural constituent of cuticle
GO:0043886	2	structural constituent of carboxysome
GO:0097099	2	structural constituent of albumen
GO:0097493	2	structural molecule activity conferring elasticity
GO:0098918	2	structural constituent of synapse
GO:0022857	2	transmembrane transporter activity
GO:0005319	2	lipid transporter activity
GO:0005326	2	neurotransmitter transporter activity
GO:0008565	2	protein transporter activity
GO:0017089	2	glycolipid transporter activity
GO:0034202	2	glycolipid-translocating activity
GO:0034437	2	glycoprotein transporter activity
GO:0000035	2	acyl binding
GO:0005515	2	protein binding
GO:0001871	2	pattern binding
GO:0003682	2	chromatin binding
GO:0003823	2	antigen binding
GO:0030246	2	carbohydrate binding
GO:0098631	2	cell adhesion mediator activity
GO:0005549	2	odorant binding
GO:0008289	2	lipid binding
GO:0008144	2	drug binding
GO:0008430	2	selenium binding
GO:0015643	2	toxic substance binding
GO:0019808	2	polyamine binding
GO:0050840	2	extracellular matrix binding
GO:0031409	2	pigment binding
GO:0033218	2	amide binding
GO:0033226	2	2-aminoethylphosphonate binding
GO:0035731	2	dinitrosyl-iron complex binding
GO:0036094	2	small molecule binding
GO:0042165	2	neurotransmitter binding
GO:0042562	2	hormone binding
GO:0043167	2	ion binding
GO:0043176	2	amine binding
GO:0043287	2	poly(3-hydroxyalkanoate) binding
GO:0046812	2	host cell surface binding
GO:0044877	2	protein-containing complex binding
GO:0046790	2	virion binding
GO:0046848	2	hydroxyapatite binding
GO:0046904	2	calcium oxalate binding
GO:0048037	2	cofactor binding
GO:0050436	2	microfibril binding
GO:0050824	2	water binding
GO:0050997	2	quaternary ammonium group binding
GO:0051540	2	metal cluster binding
GO:0060090	2	molecular adaptor activity
GO:0070026	2	nitric oxide binding
GO:0072328	2	alkene binding
GO:0072341	2	modified amino acid binding
GO:0097159	2	organic cyclic compound binding
GO:0097243	2	flavonoid binding
GO:0097367	2	carbohydrate derivative binding
GO:1901363	2	heterocyclic compound binding
GO:1901567	2	fatty acid derivative binding
GO:1901681	2	sulfur compound binding
GO:1904012	2	platinum binding
GO:1904013	2	xenon atom binding
GO:1904483	2	synthetic cannabinoid binding
GO:1904493	2	tetrahydrofolyl-poly(glutamate) polymer binding
GO:1904517	2	MgATP(2-) binding
GO:1990300	2	cellulosome binding
GO:0004362	2	glutathione-disulfide reductase activity
GO:0004601	2	peroxidase activity
GO:0004784	2	superoxide dismutase activity
GO:0004791	2	thioredoxin-disulfide reductase activity
GO:0032542	2	sulfiredoxin activity
GO:0045174	2	glutathione dehydrogenase (ascorbate) activity
GO:0050605	2	superoxide reductase activity
GO:0051920	2	peroxiredoxin activity
GO:0005085	2	guanyl-nucleotide exchange factor activity
GO:0016247	2	channel regulator activity
GO:0030234	2	enzyme regulator activity
GO:0030545	2	receptor regulator activity
GO:0004694	2	eukaryotic translation initiation factor 2alpha kinase activity
GO:0030371	2	translation repressor activity
GO:0045183	2	translation factor activity, non-nucleic acid binding
GO:0090079	2	translation regulator activity, nucleic acid binding
GO:0000156	2	phosphorelay response regulator activity
GO:0004679	2	AMP-activated protein kinase activity
GO:0004690	2	cyclic nucleotide-dependent protein kinase activity
GO:0038023	2	signaling receptor activity
GO:0005072	2	transforming growth factor beta receptor, cytoplasmic mediator activity
GO:0009927	2	histidine phosphotransfer kinase activity
GO:0017132	2	cAMP-dependent guanyl-nucleotide exchange factor activity
GO:0031992	2	energy transducer activity
GO:0097472	2	cyclin-dependent protein kinase activity
GO:0001618	2	virus receptor activity
GO:0000036	2	acyl carrier activity
GO:0005344	2	oxygen carrier activity
GO:0016530	2	metallochaperone activity
GO:0022809	2	mobile ion carrier activity
GO:0097163	2	sulfur carrier activity
GO:0140132	2	iron-sulfur cluster carrier activity
GO:0140142	2	nucleocytoplasmic carrier activity
GO:0001004	3	RNA polymerase III transcription regulator recruiting activity
GO:0001135	3	RNA polymerase II transcription regulator recruiting activity
GO:0001186	3	RNA polymerase I transcription regulator recruiting activity
GO:0000981	3	DNA-binding transcription factor activity, RNA polymerase II-specific
GO:0001011	3	transcription factor activity, sequence-specific DNA binding, RNA polymerase recruiting
GO:0001130	3	bacterial-type RNA polymerase transcription factor activity, sequence-specific DNA binding
GO:0001199	3	transcription factor activity, metal ion regulated sequence-specific DNA binding
GO:0004874	3	aryl hydrocarbon receptor activity
GO:0034246	3	mitochondrial sequence-specific DNA-binding transcription factor activity
GO:0098531	3	transcription factor activity, direct ligand regulated sequence-specific DNA binding
GO:0003713	3	transcription coactivator activity
GO:0003714	3	transcription corepressor activity
GO:0000995	3	RNA polymerase III general transcription initiation factor activity
GO:0001181	3	RNA polymerase I general transcription initiation factor activity
GO:0016251	3	RNA polymerase II general transcription initiation factor activity
GO:0004134	3	4-alpha-glucanotransferase activity
GO:0004135	3	amylo-alpha-1,6-glucosidase activity
GO:0019156	3	isoamylase activity
GO:0009055	3	electron transfer activity
GO:0000170	3	sphingosine hydroxylase activity
GO:0001512	3	dihydronicotinamide riboside quinone reductase activity
GO:0003826	3	alpha-ketoacid dehydrogenase activity
GO:0004154	3	dihydropterin oxidase activity
GO:0004497	3	monooxygenase activity
GO:0004800	3	thyroxine 5'-deiodinase activity
GO:0004836	3	tyramine-beta hydroxylase activity
GO:0008682	3	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity
GO:0016651	3	oxidoreductase activity, acting on NAD(P)H
GO:0010242	3	oxygen evolving activity
GO:0015002	3	heme-copper terminal oxidase activity
GO:0015039	3	NADPH-adrenodoxin reductase activity
GO:0015048	3	phthalate dioxygenase reductase activity
GO:0016229	3	steroid dehydrogenase activity
GO:0016614	3	oxidoreductase activity, acting on CH-OH group of donors
GO:0016903	3	oxidoreductase activity, acting on the aldehyde or oxo group of donors
GO:0016627	3	oxidoreductase activity, acting on the CH-CH group of donors
GO:0016638	3	oxidoreductase activity, acting on the CH-NH2 group of donors
GO:0016645	3	oxidoreductase activity, acting on the CH-NH group of donors
GO:0016661	3	oxidoreductase activity, acting on other nitrogenous compounds as donors
GO:0016667	3	oxidoreductase activity, acting on a sulfur group of donors
GO:0016675	3	oxidoreductase activity, acting on a heme group of donors
GO:0016679	3	oxidoreductase activity, acting on diphenols and related substances as donors
GO:0016684	3	oxidoreductase activity, acting on peroxide as acceptor
GO:0016695	3	oxidoreductase activity, acting on hydrogen as donor
GO:0016701	3	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen
GO:0016705	3	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
GO:0016721	3	oxidoreductase activity, acting on superoxide radicals as acceptor
GO:0016722	3	oxidoreductase activity, oxidizing metal ions
GO:0016725	3	oxidoreductase activity, acting on CH or CH2 groups
GO:0016730	3	oxidoreductase activity, acting on iron-sulfur proteins as donors
GO:0016737	3	oxidoreductase activity, acting on reduced flavodoxin as donor
GO:0018698	3	vinyl chloride reductive dehalogenase activity
GO:0018699	3	1,1,1-trichloroethane reductive dehalogenase activity
GO:0018700	3	2-chloro-N-isopropylacetanilide reductive dehalogenase activity
GO:0018701	3	2,5-dichlorohydroquinone reductive dehalogenase activity
GO:0018702	3	1,1-dichloro-2,2-bis(4-chlorophenyl)ethene dehalogenase activity
GO:0018703	3	2,4-dichlorophenoxyacetate dehalogenase activity
GO:0018705	3	1,2-dichloroethene reductive dehalogenase activity
GO:0018706	3	pyrogallol hydroxytransferase activity
GO:0019168	3	2-octaprenylphenol hydroxylase activity
GO:0019174	3	tetrahydrothiophene 1-oxide reductase activity
GO:0030611	3	arsenate reductase activity
GO:0030613	3	oxidoreductase activity, acting on phosphorus or arsenic in donors
GO:0033796	3	sulfur reductase activity
GO:0033797	3	selenate reductase activity
GO:0033798	3	thyroxine 5-deiodinase activity
GO:0034539	3	3,3',5,5'-tetrabromobisphenol A reductive dehalogenase activity
GO:0034540	3	3-monobromobisphenol A reductive dehalogenase activity
GO:0034542	3	trimethylarsine oxidase activity
GO:0034546	3	2,4-dichloroaniline reductive dehalogenase activity
GO:0034550	3	dimethylarsinate reductase activity
GO:0034554	3	3,3',5-tribromobisphenol A reductive dehalogenase activity
GO:0034555	3	3,3'-dibromobisphenol A reductive dehalogenase activity
GO:0034567	3	chromate reductase activity
GO:0034937	3	perchlorate reductase activity
GO:0034949	3	1,1-dichloroethane reductive dehalogenase activity
GO:0035515	3	oxidative RNA demethylase activity
GO:0035516	3	oxidative DNA demethylase activity
GO:0036354	3	2-desacetyl-2-hydroxyethyl bacteriochlorophyllide a dehydrogenase activity
GO:0042380	3	hydroxymethylbutenyl pyrophosphate reductase activity
GO:0043364	3	glycyl-radical enzyme activating activity
GO:0043738	3	reduced coenzyme F420 dehydrogenase activity
GO:0043826	3	sulfur oxygenase reductase activity
GO:0043871	3	delta1-piperideine-6-carboxylate dehydrogenase activity
GO:0043880	3	crotonyl-CoA reductase activity
GO:0043883	3	malolactic enzyme activity
GO:0043914	3	NADPH:sulfur oxidoreductase activity
GO:0045301	3	tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)-hydroxylase activity
GO:0045550	3	geranylgeranyl reductase activity
GO:0046422	3	violaxanthin de-epoxidase activity
GO:0046992	3	oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond
GO:0047143	3	chlorate reductase activity
GO:0050629	3	tetrachloroethene reductive dehalogenase activity
GO:0050697	3	1,1,2-trichloroethene reductive dehalogenase activity
GO:0050781	3	ortho-trichlorophenol reductive dehalogenase activity
GO:0051213	3	dioxygenase activity
GO:0051744	3	3,8-divinyl protochlorophyllide a 8-vinyl reductase activity
GO:0052583	3	oxidoreductase activity, acting on halogen in donors
GO:0052614	3	uracil oxygenase activity
GO:0052693	3	epoxyqueuosine reductase activity
GO:0052755	3	reduced coenzyme F420:quinone oxidoreductase activity
GO:0052765	3	reduced coenzyme F420 oxidase activity
GO:0070576	3	vitamin D 24-hydroxylase activity
GO:0070643	3	vitamin D 25-hydroxylase activity
GO:0080132	3	fatty acid alpha-hydroxylase activity
GO:0003963	3	RNA-3'-phosphate cyclase activity
GO:0004016	3	adenylate cyclase activity
GO:0004383	3	guanylate cyclase activity
GO:0009976	3	tocopherol cyclase activity
GO:0033190	3	solanapyrone synthase activity
GO:0034012	3	FAD-AMP lyase (cyclizing) activity
GO:0034072	3	squalene cyclase activity
GO:0035439	3	halimadienyl-diphosphate synthase activity
GO:0036356	3	cyclic 2,3-diphosphoglycerate synthetase activity
GO:0045435	3	lycopene epsilon cyclase activity
GO:0045436	3	lycopene beta cyclase activity
GO:0046423	3	allene-oxide cyclase activity
GO:0047768	3	carboxy-cis,cis-muconate cyclase activity
GO:0047805	3	cytidylate cyclase activity
GO:0047820	3	D-glutamate cyclase activity
GO:0047926	3	geranyl-diphosphate cyclase activity
GO:0050230	3	purine imidazole-ring cyclase activity
GO:0052604	3	delta-tocopherol cyclase activity
GO:0052605	3	gamma-tocopherol cyclase activity
GO:0061811	3	ADP-ribosyl cyclase activity
GO:0080015	3	sabinene synthase activity
GO:0080016	3	(-)-E-beta-caryophyllene synthase activity
GO:0080017	3	alpha-humulene synthase activity
GO:0000031	3	mannosylphosphate transferase activity
GO:0008414	3	CDP-alcohol phosphotransferase activity
GO:0016741	3	transferase activity, transferring one-carbon groups
GO:0016744	3	transferase activity, transferring aldehyde or ketonic groups
GO:0016746	3	transferase activity, transferring acyl groups
GO:0016757	3	transferase activity, transferring glycosyl groups
GO:0016765	3	transferase activity, transferring alkyl or aryl (other than methyl) groups
GO:0016769	3	transferase activity, transferring nitrogenous groups
GO:0016772	3	transferase activity, transferring phosphorus-containing groups
GO:0016782	3	transferase activity, transferring sulfur-containing groups
GO:0016785	3	transferase activity, transferring selenium-containing groups
GO:0019776	3	Atg8 ligase activity
GO:0019779	3	Atg8 activating enzyme activity
GO:0019787	3	ubiquitin-like protein transferase activity
GO:0042123	3	glucanosyltransferase activity
GO:0043842	3	Kdo transferase activity
GO:0051075	3	S-adenosylmethionine:tRNA ribosyltransferase-isomerase activity
GO:0061599	3	molybdopterin molybdotransferase activity
GO:0061863	3	microtubule plus end polymerase
GO:0003832	3	beta-alanyl-dopamine hydrolase activity
GO:0003923	3	GPI-anchor transamidase activity
GO:0008233	3	peptidase activity
GO:0016788	3	hydrolase activity, acting on ester bonds
GO:0016798	3	hydrolase activity, acting on glycosyl bonds
GO:0016801	3	hydrolase activity, acting on ether bonds
GO:0016810	3	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
GO:0016817	3	hydrolase activity, acting on acid anhydrides
GO:0016822	3	hydrolase activity, acting on acid carbon-carbon bonds
