GO.ID	Actual	Total	Expected	p_val	p.adj	Term	Gene_Names	Haploblock
GO:0002237	2	88	0.179263652976244	0.013929558752487	0.0294068462552503	response to molecule of bacterial origin	Ha412HOChr01g0003511,Ha412HOChr01g0003521	ANN_01_01
GO:0002240	2	17	0.0346304784158653	0.000543003265345935	0.00257926551039319	response to molecule of oomycetes origin	Ha412HOChr01g0003511,Ha412HOChr01g0003521	ANN_01_01
GO:0006869	2	83	0.169078218148048	0.0124638298648875	0.0294068462552503	lipid transport	Ha412HOChr01g0003511,Ha412HOChr01g0003521	ANN_01_01
GO:0009058	3	69	0.1405590006291	0.000382463717885909	0.00242227021327742	biosynthetic process	Ha412HOChr01g0002731,Ha412HOChr01g0002741,Ha412HOChr01g0002751	ANN_01_01
GO:0010187	2	84	0.171115305113687	0.0127512262286721	0.0294068462552503	negative regulation of seed germination	Ha412HOChr01g0003271,Ha412HOChr01g0003281	ANN_01_01
GO:0015996	2	22	0.044815913244061	0.000916271060326818	0.00348183002924191	chlorophyll catabolic process	Ha412HOChr01g0003861,Ha412HOChr01g0003871	ANN_01_01
GO:0045492	3	44	0.089631826488122	0.000100254115503065	0.00190482819455824	xylan biosynthetic process	Ha412HOChr01g0002901,Ha412HOChr01g0002921,Ha412HOChr01g0002931	ANN_01_01
GO:0071472	2	73	0.148707348491657	0.00975145659212138	0.0294068462552503	cellular response to salt stress	Ha412HOChr01g0002981,Ha412HOChr01g0003951	ANN_01_01
GO:0000304	3	13	0.136305083730266	0.000293240916568772	0.00248786692653083	response to singlet oxygen	Ha412HOChr05g0235651,Ha412HOChr05g0235691,Ha412HOChr05g0235731	ANN_05_01
GO:0001666	5	86	0.901710553907912	0.00204842466905908	0.0119491439028446	response to hypoxia	Ha412HOChr05g0233861,Ha412HOChr05g0234551,Ha412HOChr05g0235651,Ha412HOChr05g0235691,Ha412HOChr05g0235731	ANN_05_01
GO:0006355	40	2378	24.9333453161978	0.00181324236010447	0.0110371274093316	regulation of transcription, DNA-templated	Ha412HOChr05g0231921,Ha412HOChr05g0232221,Ha412HOChr05g0232351,Ha412HOChr05g0232781,Ha412HOChr05g0233221,Ha412HOChr05g0233281,Ha412HOChr05g0233661,Ha412HOChr05g0233731,Ha412HOChr05g0233801,Ha412HOChr05g0233871,Ha412HOChr05g0234081,Ha412HOChr05g0234131,Ha412HOChr05g0234751,Ha412HOChr05g0235011,Ha412HOChr05g0235081,Ha412HOChr05g0235111,Ha412HOChr05g0235191,Ha412HOChr05g0235211,Ha412HOChr05g0235231,Ha412HOChr05g0235351,Ha412HOChr05g0235471,Ha412HOChr05g0235481,Ha412HOChr05g0235911,Ha412HOChr05g0236161,Ha412HOChr05g0236221,Ha412HOChr05g0236411,Ha412HOChr05g0236651,Ha412HOChr05g0236981,Ha412HOChr05g0237911,Ha412HOChr05g0237991,Ha412HOChr05g0238201,Ha412HOChr05g0238461,Ha412HOChr05g0238471,Ha412HOChr05g0238521,Ha412HOChr05g0238531,Ha412HOChr05g0238551,Ha412HOChr05g0239211,Ha412HOChr05g0239361,Ha412HOChr05g0239501,Ha412HOChr05g0239941	ANN_05_01
GO:0006357	12	471	4.93843803361194	0.00406893998899592	0.0167544587782185	regulation of transcription by RNA polymerase II	Ha412HOChr05g0232221,Ha412HOChr05g0232261,Ha412HOChr05g0232351,Ha412HOChr05g0232731,Ha412HOChr05g0233351,Ha412HOChr05g0233871,Ha412HOChr05g0235001,Ha412HOChr05g0235801,Ha412HOChr05g0236281,Ha412HOChr05g0238861,Ha412HOChr05g0239371,Ha412HOChr05g0239381	ANN_05_01
GO:0006465	4	31	0.32503519966448	0.000287321547630808	0.00248786692653083	signal peptide processing	Ha412HOChr05g0233501,Ha412HOChr05g0233561,Ha412HOChr05g0233581,Ha412HOChr05g0233621	ANN_05_01
GO:0006508	7	248	2.60028159731584	0.0154098568369388	0.0440281623912537	proteolysis	Ha412HOChr05g0231321,Ha412HOChr05g0232541,Ha412HOChr05g0233501,Ha412HOChr05g0233561,Ha412HOChr05g0233581,Ha412HOChr05g0233621,Ha412HOChr05g0235941	ANN_05_01
GO:0006535	3	19	0.199215122375004	0.00094869060732813	0.00699035184347043	cysteine biosynthetic process from serine	Ha412HOChr05g0234051,Ha412HOChr05g0234061,Ha412HOChr05g0234071	ANN_05_01
GO:0006629	6	174	1.8243911206974	0.00987744895992507	0.0352056384788637	lipid metabolic process	Ha412HOChr05g0233201,Ha412HOChr05g0235651,Ha412HOChr05g0235661,Ha412HOChr05g0235691,Ha412HOChr05g0235721,Ha412HOChr05g0235731	ANN_05_01
GO:0006779	2	14	0.146790090171055	0.00899677772526331	0.0331460231983385	porphyrin-containing compound biosynthetic process	Ha412HOChr05g0232801,Ha412HOChr05g0236941	ANN_05_01
GO:0006955	3	30	0.31455019322369	0.00365355477146986	0.0156255410950496	immune response	Ha412HOChr05g0234051,Ha412HOChr05g0234061,Ha412HOChr05g0234071	ANN_05_01
GO:0007231	2	20	0.209700128815793	0.0180317096923262	0.0494988109201111	osmosensory signaling pathway	Ha412HOChr05g0238641,Ha412HOChr05g0238701	ANN_05_01
GO:0009640	7	162	1.69857104340793	0.00157648106112187	0.0100321522071392	photomorphogenesis	Ha412HOChr05g0232611,Ha412HOChr05g0232781,Ha412HOChr05g0235321,Ha412HOChr05g0238371,Ha412HOChr05g0239171,Ha412HOChr05g0239211,Ha412HOChr05g0239411	ANN_05_01
GO:0009642	4	29	0.3040651867829	0.000220455123608076	0.00220455123608076	response to light intensity	Ha412HOChr05g0233501,Ha412HOChr05g0233561,Ha412HOChr05g0233581,Ha412HOChr05g0233621	ANN_05_01
GO:0009658	8	291	3.05113687426979	0.0115053412648068	0.0372366912118431	chloroplast organization	Ha412HOChr05g0232471,Ha412HOChr05g0233401,Ha412HOChr05g0233491,Ha412HOChr05g0234081,Ha412HOChr05g0234161,Ha412HOChr05g0235011,Ha412HOChr05g0236351,Ha412HOChr05g0236361	ANN_05_01
GO:0009787	3	29	0.3040651867829	0.00331342937158799	0.0149638745813651	regulation of abscisic acid-activated signaling pathway	Ha412HOChr05g0235111,Ha412HOChr05g0236701,Ha412HOChr05g0239401	ANN_05_01
