GO.ID	Actual	Total	Expected	p_val	p.adj	Term	Gene_Names	Haploblock	Haplotype
GO:0050832	4	4	1.41176470588235	0.00380293863439931	0.0456352636127917	defense response to fungus	Ha412HOChr01g0003511,Ha412HOChr01g0003521,Ha412HOChr01g0003861,Ha412HOChr01g0003871	ANN_01_01	0
GO:0009963	8	10	3.34285714285714	0.000361694555774072	0.014829476786737	positive regulation of flavonoid biosynthetic process	Ha412HOChr05g0233661,Ha412HOChr05g0238421,Ha412HOChr05g0238881,Ha412HOChr05g0238891,Ha412HOChr05g0238911,Ha412HOChr05g0238941,Ha412HOChr05g0239061,Ha412HOChr05g0239081	ANN_05_01	2
GO:0009809	8	12	4.01142857142857	0.00248149062178595	0.0438610172783824	lignin biosynthetic process	Ha412HOChr05g0233911,Ha412HOChr05g0238421,Ha412HOChr05g0238881,Ha412HOChr05g0238891,Ha412HOChr05g0238911,Ha412HOChr05g0238941,Ha412HOChr05g0239061,Ha412HOChr05g0239081	ANN_05_01	2
GO:0010252	7	10	3.34285714285714	0.00320934272768652	0.0438610172783824	auxin homeostasis	Ha412HOChr05g0238421,Ha412HOChr05g0238881,Ha412HOChr05g0238891,Ha412HOChr05g0238911,Ha412HOChr05g0238941,Ha412HOChr05g0239061,Ha412HOChr05g0239081	ANN_05_01	2
GO:0048544	30	53	24.102380952381	5.59166825035988e-05	0.00153770876884897	recognition of pollen	Ha412HOChr11g0489361,Ha412HOChr11g0490371,Ha412HOChr11g0490381,Ha412HOChr11g0490391,Ha412HOChr11g0490421,Ha412HOChr11g0490471,Ha412HOChr11g0490501,Ha412HOChr11g0490511,Ha412HOChr11g0490531,Ha412HOChr11g0490561,Ha412HOChr11g0490571,Ha412HOChr11g0490621,Ha412HOChr11g0490661,Ha412HOChr11g0490961,Ha412HOChr11g0491021,Ha412HOChr11g0491051,Ha412HOChr11g0491061,Ha412HOChr11g0491121,Ha412HOChr11g0491141,Ha412HOChr11g0491231,Ha412HOChr11g0491241,Ha412HOChr11g0491251,Ha412HOChr11g0491261,Ha412HOChr11g0491321,Ha412HOChr11g0491461,Ha412HOChr11g0493791,Ha412HOChr11g0494081,Ha412HOChr11g0494091,Ha412HOChr11g0494151,Ha412HOChr11g0494251	ANN_11_01	0
GO:0046777	22	37	16.8261904761905	0.00023884080794296	0.00437874814562093	protein autophosphorylation	Ha412HOChr11g0487911,Ha412HOChr11g0487991,Ha412HOChr11g0488031,Ha412HOChr11g0488071,Ha412HOChr11g0488131,Ha412HOChr11g0488251,Ha412HOChr11g0488311,Ha412HOChr11g0488401,Ha412HOChr11g0488461,Ha412HOChr11g0488471,Ha412HOChr11g0488501,Ha412HOChr11g0488621,Ha412HOChr11g0489221,Ha412HOChr11g0489531,Ha412HOChr11g0490661,Ha412HOChr11g0496141,Ha412HOChr11g0496201,Ha412HOChr11g0496221,Ha412HOChr11g0496251,Ha412HOChr11g0496301,Ha412HOChr11g0497151,Ha412HOChr11g0497171	ANN_11_01	0
GO:0048544	37	53	24.8595238095238	3.43434991773734e-09	1.25353771997413e-07	recognition of pollen	Ha412HOChr11g0489351,Ha412HOChr11g0489361,Ha412HOChr11g0490371,Ha412HOChr11g0490381,Ha412HOChr11g0490391,Ha412HOChr11g0490421,Ha412HOChr11g0490471,Ha412HOChr11g0490481,Ha412HOChr11g0490501,Ha412HOChr11g0490511,Ha412HOChr11g0490531,Ha412HOChr11g0490561,Ha412HOChr11g0490571,Ha412HOChr11g0490621,Ha412HOChr11g0490651,Ha412HOChr11g0490661,Ha412HOChr11g0490681,Ha412HOChr11g0490961,Ha412HOChr11g0491021,Ha412HOChr11g0491061,Ha412HOChr11g0491121,Ha412HOChr11g0491141,Ha412HOChr11g0491231,Ha412HOChr11g0491241,Ha412HOChr11g0491261,Ha412HOChr11g0491301,Ha412HOChr11g0491321,Ha412HOChr11g0491461,Ha412HOChr11g0493481,Ha412HOChr11g0493491,Ha412HOChr11g0493501,Ha412HOChr11g0493791,Ha412HOChr11g0494081,Ha412HOChr11g0494091,Ha412HOChr11g0494151,Ha412HOChr11g0494211,Ha412HOChr11g0494251	ANN_11_01	2
GO:0046777	25	37	17.3547619047619	4.75882014722564e-06	0.000115797956915824	protein autophosphorylation	Ha412HOChr11g0487911,Ha412HOChr11g0487981,Ha412HOChr11g0487991,Ha412HOChr11g0488031,Ha412HOChr11g0488051,Ha412HOChr11g0488131,Ha412HOChr11g0488251,Ha412HOChr11g0488311,Ha412HOChr11g0488401,Ha412HOChr11g0488461,Ha412HOChr11g0488471,Ha412HOChr11g0488501,Ha412HOChr11g0488571,Ha412HOChr11g0488621,Ha412HOChr11g0489221,Ha412HOChr11g0489531,Ha412HOChr11g0490661,Ha412HOChr11g0493331,Ha412HOChr11g0495351,Ha412HOChr11g0496141,Ha412HOChr11g0496201,Ha412HOChr11g0496221,Ha412HOChr11g0496251,Ha412HOChr11g0496301,Ha412HOChr11g0496351	ANN_11_01	2
GO:0006355	14	20	9.38095238095238	0.000435766308908967	0.00795273513758865	regulation of transcription, DNA-templated	Ha412HOChr11g0488631,Ha412HOChr11g0489271,Ha412HOChr11g0489461,Ha412HOChr11g0489501,Ha412HOChr11g0489921,Ha412HOChr11g0489961,Ha412HOChr11g0491691,Ha412HOChr11g0491791,Ha412HOChr11g0492651,Ha412HOChr11g0493021,Ha412HOChr11g0493711,Ha412HOChr11g0493851,Ha412HOChr11g0495181,Ha412HOChr11g0496511	ANN_11_01	2
GO:0009651	9	11	5.15952380952381	0.000871078146839445	0.0127177409438559	response to salt stress	Ha412HOChr11g0489151,Ha412HOChr11g0492111,Ha412HOChr11g0492121,Ha412HOChr11g0492191,Ha412HOChr11g0492201,Ha412HOChr11g0492251,Ha412HOChr11g0494801,Ha412HOChr11g0496011,Ha412HOChr11g0496511	ANN_11_01	2
GO:0010222	5	5	2.34523809523809	0.00320439547793788	0.021265533626315	stem vascular tissue pattern formation	Ha412HOChr11g0492111,Ha412HOChr11g0492121,Ha412HOChr11g0492191,Ha412HOChr11g0492201,Ha412HOChr11g0492251	ANN_11_01	2
GO:0010345	5	5	2.34523809523809	0.00320439547793788	0.021265533626315	suberin biosynthetic process	Ha412HOChr11g0492111,Ha412HOChr11g0492121,Ha412HOChr11g0492191,Ha412HOChr11g0492201,Ha412HOChr11g0492251	ANN_11_01	2
GO:0010588	5	5	2.34523809523809	0.00320439547793788	0.021265533626315	cotyledon vascular tissue pattern formation	Ha412HOChr11g0492111,Ha412HOChr11g0492121,Ha412HOChr11g0492191,Ha412HOChr11g0492201,Ha412HOChr11g0492251	ANN_11_01	2
GO:0015908	5	5	2.34523809523809	0.00320439547793788	0.021265533626315	fatty acid transport	Ha412HOChr11g0492111,Ha412HOChr11g0492121,Ha412HOChr11g0492191,Ha412HOChr11g0492201,Ha412HOChr11g0492251	ANN_11_01	2
GO:0042335	5	5	2.34523809523809	0.00320439547793788	0.021265533626315	cuticle development	Ha412HOChr11g0492111,Ha412HOChr11g0492121,Ha412HOChr11g0492191,Ha412HOChr11g0492201,Ha412HOChr11g0492251	ANN_11_01	2
GO:0080051	5	5	2.34523809523809	0.00320439547793788	0.021265533626315	cutin transport	Ha412HOChr11g0492111,Ha412HOChr11g0492121,Ha412HOChr11g0492191,Ha412HOChr11g0492201,Ha412HOChr11g0492251	ANN_11_01	2
GO:0009737	9	13	6.09761904761905	0.00592859796556516	0.0360656376238547	response to abscisic acid	Ha412HOChr11g0489151,Ha412HOChr11g0489501,Ha412HOChr11g0489921,Ha412HOChr11g0492111,Ha412HOChr11g0492121,Ha412HOChr11g0492191,Ha412HOChr11g0492201,Ha412HOChr11g0492251,Ha412HOChr11g0496511	ANN_11_01	2
GO:0045892	6	10	1.21739130434783	0.000196882191462594	0.00767840546704117	negative regulation of transcription, DNA-templated	Ha412HOChr15g0728471,Ha412HOChr15g0728601,Ha412HOChr15g0736891,Ha412HOChr15g0740631,Ha412HOChr15g0741771,Ha412HOChr15g0742011	ANN_15_01	2
GO:0016567	8	20	2.43478260869565	0.000563993278207744	0.010997868925051	protein ubiquitination	Ha412HOChr15g0732971,Ha412HOChr15g0736031,Ha412HOChr15g0736041,Ha412HOChr15g0737481,Ha412HOChr15g0738241,Ha412HOChr15g0740441,Ha412HOChr15g0741771,Ha412HOChr15g0741911	ANN_15_01	2
GO:0010051	3	3	0.365217391304348	0.00122970089334153	0.0119895837100799	xylem and phloem pattern formation	Ha412HOChr15g0730181,Ha412HOChr15g0737461,Ha412HOChr15g0740821	ANN_15_01	2
GO:2000012	3	3	0.365217391304348	0.00122970089334153	0.0119895837100799	regulation of auxin polar transport	Ha412HOChr15g0740551,Ha412HOChr15g0740561,Ha412HOChr15g0740821	ANN_15_01	2
